time,factor,pi
12/6/2021 1:40,64000,3.141577029
12/6/2021 1:34,39304,3.141567211
12/6/2021 1:55,166375,3.141598664
12/6/2021 2:02,8,3.017071817
12/6/2021 1:25,15625,3.141656654
12/6/2021 2:04,64,3.125968607
12/6/2021 2:01,1,4
12/6/2021 1:28,21952,3.1415471
12/6/2021 1:33,35937,3.14162048
12/6/2021 2:05,125,3.149592526
12/6/2021 1:52,140608,3.141585542
12/6/2021 1:35,42875,3.141615977
12/6/2021 1:30,27000,3.141555617
12/6/2021 1:19,6859,3.141738447
12/6/2021 2:08,512,3.13963953
12/6/2021 1:56,175616,3.141586959
12/6/2021 2:11,1331,3.142343968
12/6/2021 1:42,74088,3.141579156
12/6/2021 1:43,79507,3.141605231
12/6/2021 1:46,97336,3.14158238
12/6/2021 1:20,8000,3.141467654
12/6/2021 1:22,10648,3.141498739
12/6/2021 1:26,17576,3.141535758
12/6/2021 1:59,205379,3.141597523
12/6/2021 1:57,185193,3.141598053
12/6/2021 1:53,148877,3.141599371
12/6/2021 1:21,9261,3.141700633
12/6/2021 1:44,85184,3.141580914
12/6/2021 2:13,2197,3.14204782
12/6/2021 1:36,46656,3.14157122
12/6/2021 2:15,3375,3.14188895
12/6/2021 1:41,68921,3.141607163
12/6/2021 1:27,19683,3.141643459
12/6/2021 1:50,125000,3.141584654
12/6/2021 2:07,343,3.144508099
12/6/2021 2:10,1000,3.140592654
12/6/2021 1:58,195112,3.141587528
12/6/2021 2:00,1,4
12/6/2021 2:03,27,3.178617011
12/6/2021 2:18,5832,3.141421186
12/6/2021 1:54,157464,3.141586303
12/6/2021 1:31,29791,3.141626221
12/6/2021 2:17,4913,3.141796195
12/6/2021 1:23,12167,3.141674843
12/6/2021 1:38,54872,3.141574429
12/6/2021 1:48,110592,3.141583611
12/6/2021 1:24,13824,3.141520316
12/6/2021 1:45,91125,3.141603628
12/6/2021 2:06,216,3.136963049
12/6/2021 1:49,117649,3.141601153
12/6/2021 2:09,729,3.142964395
12/6/2021 1:29,24389,3.141633656
12/6/2021 1:39,59319,3.141609512
12/6/2021 2:16,4096,3.141348513
12/6/2021 2:12,1728,3.14101395
12/6/2021 1:51,132651,3.141600192
12/6/2021 1:47,103823,3.141602285
12/6/2021 1:37,50653,3.141612396
12/6/2021 1:32,32768,3.141562136
12/6/2021 2:14,2744,3.141228222
